id,name,now_cost,position,team,selected_rank,influence,points_per_game,starts,form,goals_scored,expected_goals_per_90,transfers_out_event,expected_goals_conceded,cost_change_event_fall,penalties_order,ict_index_rank_type,team_join_date,creativity,influence_rank,transfers_out,ep_next,saves_per_90,ep_this,cost_change_start,goals_conceded,expected_goal_involvements_per_90,points_per_game_rank,region,transfers_in,chance_of_playing_this_round,direct_freekicks_order,penalties_saved,now_cost_rank,creativity_rank_type,expected_goal_involvements,transfers_in_event,expected_assists_per_90,news,selected_rank_type,minutes,cost_change_start_fall,assists,ict_index,goals_conceded_per_90,starts_per_90,threat,influence_rank_type,value_form,creativity_rank,now_cost_rank_type,red_cards,news_added,corners_and_indirect_freekicks_order,expected_goals_conceded_per_90,event_points,total_points,threat_rank,can_select,web_name,threat_rank_type,points_per_game_rank_type,chance_of_playing_next_round,cost_change_event,form_rank,bonus,value_season,ict_index_rank,selected_by_percent,in_dreamteam,clean_sheets_per_90,expected_goals,penalties_missed,own_goals,yellow_cards,clean_sheets,form_rank_type,expected_assists,bps,dreamteam_count,status,saves
1,Fábio Ferreira Vieira,54,MID,Arsenal,653,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,318,,0.0,713,2790,0.0,0.0,0.0,-1,0,0.0,713,,439,0.0,,0,130,317,0.00,0,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,284,0,1,0,0.0,0.0,0.0,0.0,318,0.0,711,78,0,2024-08-29T11:06:25.241953Z,,0.0,0,0,710,False,Fábio Vieira,316,318,0.0,0,697,0,0.0,713,0.0,False,0.0,0.00,0,0,0,0,310,0.00,0,0,u,0
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,86,154.4,2.5,6,6.4,3,0.46,80238,5.82,1,,23,2022-07-04,119.5,247,1041671,0.0,0.0,0.0,-2,5,0.54,192,30.0,1236971,0.0,,0,32,24,3.57,63,0.08,Knee injury - Unknown return date,15,600,2,2,52.6,0.75,0.9,255.0,23,0.9,189,16,0,2025-01-12T22:00:07.802845Z,,0.87,0,42,70,True,G.Jesus,24,26,0.0,-1,11,6,6.2,161,4.3,False,0.3,3.05,0,0,4,2,3,0.52,152,2,i,0
3,Gabriel dos Santos Magalhães,64,DEF,Arsenal,8,412.6,4.6,18,2.8,3,0.14,7347,16.15,0,,14,2020-09-01,132.2,46,2330803,3.3,0.0,2.8,4,16,0.19,28,30.0,3928892,100.0,,0,49,39,3.34,5449,0.05,,1,1538,-4,2,79.6,0.94,1.05,251.0,15,0.4,177,3,0,2024-11-27T10:30:06.325759Z,,0.95,0,83,71,True,Gabriel,3,2,100.0,0,96,7,13.0,87,29.0,False,0.35,2.42,0,0,2,6,26,0.92,299,2,a,0
4,Kai Havertz,78,FWD,Arsenal,42,372.2,4.4,17,2.6,7,0.47,4565,15.63,0,3.0,7,2023-06-28,220.2,70,3098972,3.1,0.0,2.6,-2,16,0.55,37,80.0,2443194,100.0,,0,13,9,9.11,2657,0.08,,12,1480,2,2,115.2,0.97,1.03,559.0,10,0.3,106,5,0,2025-01-02T08:00:08.350130Z,,0.95,0,74,15,True,Havertz,8,11,100.0,0,103,10,9.5,28,8.3,False,0.36,7.77,0,0,3,6,15,1.34,283,1,a,0
5,Karl Hein,40,GKP,Arsenal,573,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,62,,0.0,533,4331,0.0,0.0,0.0,0,0,0.0,538,,0,0.0,,0,642,43,0.00,0,0.0,Loaned to Real Valladolid,69,0,0,0,0.0,0.0,0.0,0.0,62,0.0,512,59,0,2024-08-14T08:31:46.556082Z,,0.0,0,0,477,False,Hein,30,62,0.0,0,441,0,0.0,532,0.0,False,0.0,0.00,0,0,0,0,52,0.00,0,0,u,0
6,Jurriën Timber,57,DEF,Arsenal,71,236.0,3.8,16,2.2,1,0.05,3683,12.14,0,,31,2023-07-14,208.3,175,727385,2.7,0.0,2.2,2,12,0.11,63,152.0,1164727,100.0,,0,94,24,1.65,1139,0.06,,26,1395,-2,1,61.2,0.77,1.03,170.0,66,0.4,115,9,0,2025-01-12T22:00:07.815228Z,,0.78,0,64,118,True,J.Timber,10,13,100.0,0,131,5,11.2,132,5.3,False,0.39,0.71,0,0,5,6,38,0.94,235,2,a,0
7,Jorge Luiz Frello Filho,47,MID,Arsenal,331,35.8,1.3,6,0.6,0,0.01,72,4.27,0,,180,2023-01-31,64.7,389,44020,1.1,0.0,0.6,-3,5,0.1,362,106.0,27441,100.0,,0,326,166,0.51,64,0.09,,104,456,3,0,10.4,0.99,1.18,3.0,179,0.1,268,210,0,2025-01-12T22:00:07.826638Z,,0.84,0,13,409,True,Jorginho,217,169,100.0,0,299,0,2.8,369,0.2,False,0.2,0.04,0,0,3,1,148,0.47,82,0,a,0
8,Jakub Kiwior,48,DEF,Arsenal,366,49.2,1.6,2,0.0,0,0.0,48,4.45,0,,135,2023-01-23,13.7,370,33452,0.5,0.0,0.0,-2,5,0.01,327,172.0,24401,,,0,313,131,0.03,16,0.01,,130,323,2,0,6.3,1.39,0.56,0.0,129,0.0,381,38,0,,,1.24,0,13,671,True,Kiwior,244,113,,0,644,0,2.7,402,0.2,False,0.28,0.00,0,0,0,1,238,0.03,39,0,a,0
9,Gabriel Martinelli Silva,68,MID,Arsenal,84,324.0,4.1,13,4.0,5,0.26,3352,11.88,0,,29,2019-07-15,304.6,104,918353,4.5,0.0,4.0,-2,12,0.47,49,30.0,1042953,100.0,,0,35,48,6.05,1496,0.21,,28,1166,2,2,107.4,0.93,1.0,446.0,36,0.6,63,17,0,2024-10-18T16:00:06.884775Z,,0.92,0,73,29,True,Martinelli,15,22,100.0,0,44,6,10.7,43,4.4,False,0.46,3.36,0,0,1,6,19,2.69,236,1,a,0
12,Ethan Nwaneri,45,MID,Arsenal,260,97.0,1.9,2,1.8,2,0.12,1489,1.59,0,,153,2022-09-17,66.8,314,88234,0.0,0.0,0.0,0,1,0.28,275,241.0,114376,0.0,,0,421,162,0.71,48,0.16,Muscle injury - Unknown return date,81,230,0,0,23.3,0.39,0.78,69.0,144,0.4,263,259,0,2025-01-04T22:00:06.872110Z,,0.62,0,23,235,True,Nwaneri,132,121,0.0,0,158,1,5.1,301,0.5,False,0.0,0.30,0,0,1,0,67,0.41,84,0,i,0
13,Martin Ødegaard,83,MID,Arsenal,68,203.8,3.4,12,1.6,1,0.23,3609,7.96,0,2.0,52,2021-08-20,400.9,203,1835783,2.1,0.0,1.6,-2,7,0.46,95,161.0,831041,100.0,1.0,0,11,31,5.13,759,0.23,,19,1018,2,2,82.9,0.62,1.06,222.0,84,0.2,39,8,0,2024-09-10T00:30:06.311550Z,3.0,0.7,0,44,82,True,Ødegaard,53,44,100.0,0,189,3,5.3,81,5.6,False,0.53,2.56,0,0,1,6,86,2.57,205,0,a,0
15,David Raya Martin,56,GKP,Arsenal,7,425.6,3.9,20,2.8,0,0.0,14652,17.83,0,,12,2024-07-04,0.0,40,2147873,3.3,2.45,2.8,1,18,0.0,58,200.0,2520905,100.0,,0,98,75,0.01,2416,0.0,,1,1800,-1,0,42.6,0.9,1.0,0.0,12,0.5,716,1,0,2024-09-25T21:30:06.211210Z,,0.89,0,78,716,True,Raya,75,8,100.0,0,92,6,13.9,209,30.0,False,0.35,0.00,0,0,2,7,12,0.01,288,1,a,49
16,Declan Rice,62,MID,Arsenal,117,322.4,2.9,16,3.8,1,0.08,813,12.84,0,,39,2023-07-15,481.9,105,617876,4.3,0.0,3.8,-3,16,0.29,140,241.0,224205,100.0,2.0,0,60,19,4.48,476,0.21,,38,1383,3,3,95.2,1.04,1.04,153.0,37,0.6,24,36,1,2024-12-14T22:30:07.561621Z,2.0,0.84,0,52,125,True,Rice,84,58,100.0,0,48,6,8.4,59,2.6,False,0.33,1.28,0,0,3,5,22,3.20,296,0,a,0
17,Bukayo Saka,102,MID,Arsenal,35,516.2,6.7,16,0.2,5,0.3,5706,10.52,0,1.0,4,2018-11-28,630.0,15,7526977,0.0,0.0,0.0,2,13,0.7,3,241.0,5220066,0.0,,0,4,4,9.77,142,0.4,Hamstring injury - Expected back 08 Mar,10,1268,-2,11,174.9,0.92,1.14,604.0,6,0.0,4,3,0,2024-12-21T21:30:07.668871Z,1.0,0.75,0,107,12,True,Saka,7,3,0.0,0,390,16,10.5,6,10.0,True,0.43,4.17,0,0,3,6,186,5.60,435,4,i,0
18,William Saliba,63,DEF,Arsenal,9,382.6,3.9,19,2.6,2,0.1,8635,15.19,0,,40,2019-07-25,75.7,62,3257002,3.1,0.0,2.6,3,16,0.14,59,73.0,2133918,100.0,,0,57,69,2.66,1708,0.04,,2,1649,-3,0,55.0,0.87,1.04,89.0,23,0.4,253,4,1,2024-10-19T19:30:06.564445Z,,0.83,0,74,198,True,Saliba,47,10,100.0,0,102,6,11.7,152,29.0,False,0.38,1.88,0,0,2,7,29,0.78,315,2,a,0
20,Thomas Partey,50,MID,Arsenal,226,340.4,3.2,16,2.6,2,0.08,357,15.97,0,,74,2020-10-05,185.8,93,240673,3.1,0.0,2.6,0,16,0.15,108,81.0,267973,100.0,,0,194,90,2.53,146,0.07,,69,1491,0,3,64.9,0.97,0.97,120.0,31,0.5,127,120,0,2024-11-30T22:00:07.258906Z,,0.96,0,61,162,True,Thomas,103,50,100.0,0,100,5,12.2,121,0.8,False,0.24,1.38,0,0,2,4,47,1.15,318,0,a,0
21,Kieran Tierney,43,DEF,Arsenal,550,0.0,0.0,0,0.0,0,0.0,14,0.00,0,,231,2019-08-08,0.0,581,5905,0.5,0.0,0.0,-2,0,0.0,587,243.0,3119,100.0,,0,550,230,0.00,26,0.0,,195,0,2,0,0.0,0.0,0.0,0.0,231,0.0,570,120,0,2024-08-12T14:30:04.394338Z,,0.0,0,0,543,True,Tierney,221,231,100.0,0,503,0,0.0,580,0.0,False,0.0,0.00,0,0,0,0,210,0.00,0,0,a,0
22,Tomiyasu Takehiro,48,DEF,Arsenal,557,0.4,1.0,0,0.0,0,2.7,6,0.04,0,,164,2021-08-31,0.3,488,7582,0.0,0.0,0.0,-2,0,2.7,446,108.0,1531,0.0,,0,301,167,0.18,4,0.0,Knee injury - Unknown return date,197,6,2,0,1.0,0.0,0.0,9.0,172,0.0,457,33,0,2024-10-18T16:00:06.930143Z,,0.6,0,1,371,True,Tomiyasu,129,154,0.0,0,640,0,0.2,472,0.0,False,0.0,0.18,0,0,0,0,237,0.00,2,0,i,0
23,Leandro Trossard,68,MID,Arsenal,159,260.2,3.0,12,2.4,3,0.22,990,9.32,0,4.0,50,2023-01-20,270.8,157,522286,2.9,0.0,2.4,-2,12,0.36,130,21.0,442061,100.0,,0,31,60,4.52,193,0.14,,49,1112,2,3,84.7,0.97,0.97,317.0,62,0.4,76,15,1,2024-11-21T08:30:08.540890Z,4.0,0.75,0,61,53,True,Trossard,33,56,100.0,0,122,5,9.0,77,1.7,False,0.4,2.76,0,0,0,5,57,1.76,235,1,a,0
24,Benjamin White,61,DEF,Arsenal,129,128.4,3.0,7,0.0,0,0.02,348,9.87,0,,103,2021-07-30,55.3,274,974429,0.0,0.0,0.0,-4,7,0.06,129,241.0,145711,0.0,,0,71,78,0.45,19,0.04,Knee injury - Unknown return date,51,694,4,1,21.3,0.91,0.91,29.0,101,0.0,282,5,0,2024-11-14T13:00:07.861117Z,,1.28,0,27,306,True,White,101,35,0.0,0,707,0,4.4,312,2.2,False,0.39,0.13,0,0,2,3,243,0.32,112,0,i,0
25,Oleksandr Zinchenko,48,DEF,Arsenal,215,22.2,2.3,2,0.2,0,0.02,111,1.73,0,,132,2022-07-22,23.2,411,306936,0.7,0.0,0.2,-2,0,0.05,211,225.0,89795,100.0,,0,296,115,0.14,51,0.03,,84,235,2,0,6.7,0.0,0.77,21.0,146,0.0,348,32,0,2024-12-09T09:30:06.099861Z,,0.66,0,16,327,True,Zinchenko,111,66,100.0,0,380,0,3.3,396,0.9,False,0.77,0.06,0,0,1,2,133,0.08,63,0,a,0
73,Norberto Murara Neto,41,GKP,Arsenal,227,77.8,3.5,2,0.0,0,0.0,161,2.91,0,,31,2024-08-30,0.0,338,243402,0.5,5.5,0.0,-4,2,0.0,78,30.0,86341,100.0,,0,594,50,0.00,36,0.0,,32,180,4,0,7.8,1.0,1.0,0.0,30,0.0,556,40,0,2024-10-05T17:30:06.760449Z,,1.46,0,7,526,True,Neto,38,13,100.0,0,488,0,1.7,388,0.8,False,0.0,0.00,0,0,0,0,59,0.00,30,0,a,11
186,Raheem Sterling,67,MID,Arsenal,221,23.8,1.5,2,0.0,0,0.32,64,1.39,0,,176,2024-08-30,37.8,402,154327,0.5,0.0,0.0,-3,1,0.38,347,241.0,47610,100.0,3.0,0,37,179,0.60,66,0.06,,66,144,3,1,11.3,0.62,1.25,54.0,186,0.0,308,18,0,2024-12-21T21:30:08.006504Z,,0.87,0,9,258,True,Sterling,142,162,100.0,0,715,0,1.3,364,0.8,False,0.0,0.51,0,0,0,0,322,0.09,24,0,a,0
578,Riccardo Calafiori,58,DEF,Arsenal,192,196.0,2.4,8,1.2,1,0.07,681,7.80,0,,68,2024-07-29,80.1,211,378392,1.3,0.0,0.9,-2,10,0.14,205,106.0,214474,75.0,,0,90,63,1.12,16,0.07,Muscle injury - 75% chance of playing,76,704,2,1,39.9,1.28,1.02,123.0,79,0.2,243,8,0,2025-01-12T22:00:08.460074Z,,1.0,0,26,157,True,Calafiori,23,62,75.0,0,226,1,4.5,220,1.3,False,0.13,0.57,0,0,3,1,75,0.55,104,1,d,0
597,Myles Lewis-Skelly,45,MID,Arsenal,410,37.4,1.5,3,1.0,0,0.0,133,2.58,0,,183,2022-12-04,51.7,386,13719,1.5,0.0,1.0,0,3,0.04,332,241.0,22968,100.0,,0,420,175,0.12,216,0.04,,144,242,0,0,9.5,1.12,1.12,6.0,177,0.2,288,258,0,2024-12-03T15:00:08.736469Z,,0.96,0,9,391,True,Lewis-Skelly,207,149,100.0,0,237,0,2.0,375,0.1,False,0.74,0.00,0,0,1,2,111,0.12,50,0,a,0
633,Mikel Merino,60,MID,Arsenal,468,187.0,2.7,7,2.8,2,0.28,62,5.99,0,,98,2024-08-27,117.0,221,19943,3.3,0.0,2.8,0,7,0.37,162,200.0,23719,100.0,,0,75,122,2.72,52,0.09,,172,660,0,1,49.8,0.95,0.95,196.0,92,0.5,193,49,0,2024-11-30T22:00:08.239353Z,,0.82,0,35,99,True,Merino,65,69,100.0,0,94,2,5.8,179,0.1,False,0.27,2.06,0,0,2,2,44,0.66,141,0,a,0
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,637,0.0,0.0,0,0.0,0,0.0,5,0.00,0,,266,2021-10-25,0.0,640,1743,0.5,0.0,0.0,0,0,0.0,646,152.0,2121,,,0,419,268,0.00,6,0.0,,273,0,0,0,0.0,0.0,0.0,0.0,267,0.0,635,257,0,,,0.0,0,0,620,True,Oulad M'hand,262,270,,0,583,0,0.0,639,0.0,False,0.0,0.00,0,0,0,0,230,0.00,0,0,a,0
639,Tommy Setford,45,GKP,Arsenal,530,0.0,0.0,0,0.0,0,0.0,23,0.00,0,,75,2024-07-24,0.0,664,3455,0.5,0.0,0.0,0,0,0.0,669,241.0,3447,,,0,450,69,0.00,20,0.0,,67,0,0,0,0.0,0.0,0.0,0.0,75,0.0,658,19,0,,,0.0,0,0,645,True,Setford,63,75,,0,610,0,0.0,663,0.0,False,0.0,0.00,0,0,0,0,72,0.00,0,0,a,0
657,Maldini Kacurri,40,DEF,Arsenal,487,0.0,0.0,0,0.0,0,0.0,25,0.00,0,,216,2024-09-14,0.0,562,7519,0.5,0.0,0.0,0,0,0.0,568,2.0,10294,,,0,680,214,0.00,19,0.0,,175,0,0,0,0.0,0.0,0.0,0.0,216,0.0,542,215,0,,,0.0,0,0,510,True,Kacurri,204,216,,0,474,0,0.0,561,0.1,False,0.0,0.00,0,0,0,0,190,0.00,0,0,a,0
658,Ayden Heaven,40,DEF,Arsenal,522,0.0,0.0,0,0.0,0,0.0,10,0.00,0,,221,2024-02-20,0.0,567,5143,0.5,0.0,0.0,0,0,0.0,573,241.0,6465,,,0,686,219,0.00,11,0.0,,189,0,0,0,0.0,0.0,0.0,0.0,221,0.0,547,221,0,,,0.0,0,0,516,True,Heaven,210,221,,0,479,0,0.0,566,0.0,False,0.0,0.00,0,0,0,0,195,0.00,0,0,a,0
659,Ismeal Kabia,45,MID,Arsenal,632,0.0,0.0,0,0.0,0,0.0,5,0.00,0,,291,2024-09-14,0.0,672,1809,0.5,0.0,0.0,0,0,0.0,676,152.0,2369,,,0,460,292,0.00,5,0.0,,269,0,0,0,0.0,0.0,0.0,0.0,292,0.0,666,289,0,,,0.0,0,0,653,True,Kabia,287,294,,0,619,0,0.0,671,0.0,False,0.0,0.00,0,0,0,0,258,0.00,0,0,a,0
662,Josh Nichols,40,DEF,Arsenal,546,0.0,0.0,0,0.0,0,0.0,19,0.00,0,,196,2024-07-24,0.0,541,2900,0.5,0.0,0.0,0,0,0.0,547,241.0,3877,,,0,652,193,0.00,10,0.0,,194,0,0,0,0.0,0.0,0.0,0.0,196,0.0,520,188,0,,,0.0,0,0,486,True,Nichols,181,196,,0,450,0,0.0,540,0.0,False,0.0,0.00,0,0,0,0,167,0.00,0,0,a,0
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,352,0.0,0.0,0,0.0,0,0.0,146,0.00,0,,52,2024-09-18,0.0,620,33778,0.5,0.0,0.0,0,0,0.0,626,241.0,49087,,,0,390,52,0.00,118,0.0,,57,0,0,0,0.0,0.0,0.0,0.0,52,0.0,614,65,0,,,0.0,0,0,597,True,Butler-Oyedeji,52,55,,0,560,0,0.0,619,0.2,False,0.0,0.00,0,0,0,0,46,0.00,0,0,a,0
28,Leon Bailey,62,MID,Aston Villa,218,125.6,2.3,12,2.4,1,0.12,337,10.24,0,,91,2021-08-04,195.3,279,432470,1.9,0.0,2.4,-3,15,0.39,217,107.0,155969,100.0,4.0,0,62,83,3.96,128,0.27,,65,914,3,2,54.9,1.48,1.18,230.0,123,0.4,119,38,0,2024-12-09T09:30:06.119495Z,3.0,1.01,0,39,78,True,Bailey,49,93,100.0,0,120,2,6.3,154,0.8,False,0.1,1.26,0,0,2,1,56,2.70,145,0,a,0
29,Ross Barkley,52,MID,Aston Villa,310,203.4,2.5,3,2.4,3,0.28,356,5.36,0,,97,2024-07-01,115.5,204,84837,0.0,0.0,0.0,-3,9,0.35,190,241.0,25885,0.0,,0,156,125,2.09,2,0.07,Calf injury - Expected back 01 Feb,96,544,3,1,50.3,1.49,0.5,185.0,85,0.5,196,92,0,2025-01-11T01:30:08.379812Z,,0.89,0,40,111,True,Barkley,73,82,0.0,0,112,5,7.7,178,0.3,False,0.17,1.68,0,0,3,1,51,0.41,150,1,i,0
30,Enzo Barrenechea,49,MID,Aston Villa,619,0.0,0.0,0,0.0,0,0.0,4,0.00,0,,307,,0.0,696,5257,0.0,0.0,0.0,-1,0,0.0,697,,872,0.0,,0,277,306,0.00,0,0.0,Loaned to Valencia CF,262,0,1,0,0.0,0.0,0.0,0.0,307,0.0,691,181,0,2024-08-31T06:33:47.934620Z,,0.0,0,0,685,False,Barrenechea,304,307,0.0,0,664,0,0.0,696,0.0,False,0.0,0.00,0,0,0,0,288,0.00,0,0,u,0
31,Emiliano Buendía Stati,51,MID,Aston Villa,473,16.2,0.9,0,0.6,0,0.91,17,1.68,0,,201,2021-06-10,22.1,429,15043,0.1,0.0,0.6,-4,2,0.94,475,10.0,6367,,3.0,0,176,193,0.65,20,0.03,,174,62,4,0,5.0,2.9,0.0,15.0,198,0.1,353,109,0,,,2.44,0,9,348,True,Buendia,185,227,,0,313,0,1.8,422,0.1,False,0.0,0.63,0,0,1,0,156,0.02,31,0,a,0
32,Matty Cash,44,DEF,Aston Villa,197,185.4,2.0,12,0.8,1,0.02,468,13.85,0,,73,2020-09-03,81.9,222,356566,0.3,0.0,0.8,-1,14,0.09,257,172.0,160461,100.0,,0,485,62,0.97,197,0.07,,77,988,1,0,35.5,1.28,1.09,88.0,85,0.2,239,88,0,2024-12-27T00:30:09.083461Z,,1.26,0,26,199,True,Cash,48,84,100.0,0,263,1,5.9,240,1.2,False,0.09,0.22,0,0,5,1,86,0.75,90,0,a,0
33,Leander Dendoncker,45,MID,Aston Villa,350,0.0,0.0,0,0.0,0,0.0,23,0.00,0,,243,,0.0,605,91800,0.0,0.0,0.0,0,0,0.0,611,,18187,0.0,,0,362,245,0.00,0,0.0,On loan to Anderlecht for the rest of the season,114,0,0,0,0.0,0.0,0.0,0.0,244,0.0,599,228,0,2024-09-02T10:45:36.198316Z,,0.0,0,0,582,False,Dendoncker,239,247,0.0,0,544,0,0.0,604,0.2,False,0.0,0.00,0,0,0,0,206,0.00,0,0,u,0
34,Moussa Diaby,65,MID,Aston Villa,627,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,323,,0.0,721,3366,0.0,0.0,0.0,0,0,0.0,721,,0,0.0,,0,42,323,0.00,0,0.0,Permanent transfer to Al Ittihad,266,0,0,0,0.0,0.0,0.0,0.0,323,0.0,721,23,0,2024-07-26T08:50:40.300928Z,,0.0,0,0,721,False,Diaby,323,323,0.0,0,713,0,0.0,721,0.0,False,0.0,0.00,0,0,0,0,320,0.00,0,0,u,0
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,281,150.6,2.1,8,0.2,0,0.07,352,11.88,0,,102,2022-06-10,9.2,251,84910,0.0,0.0,0.0,0,15,0.08,237,30.0,50907,0.0,,0,364,136,0.72,6,0.01,Foot injury - Unknown return date,108,828,0,0,21.5,1.63,0.87,54.0,93,0.0,406,58,0,2025-01-03T19:30:08.711012Z,,1.29,0,21,257,True,Diego Carlos,78,74,0.0,0,370,1,4.7,310,0.4,False,0.22,0.64,0,0,1,2,131,0.08,69,0,i,0
36,Lucas Digne,46,DEF,Aston Villa,52,318.2,2.5,18,1.2,0,0.04,5420,20.35,0,,11,2022-01-13,427.1,110,1130992,0.7,0.0,1.2,1,26,0.21,184,73.0,1589565,,2.0,0,344,5,3.49,390,0.17,,16,1500,-1,3,84.2,1.56,1.08,96.0,41,0.3,31,48,0,,2.0,1.22,0,50,192,True,Digne,44,53,,0,211,6,10.9,78,7.0,False,0.12,0.61,0,0,3,2,73,2.88,222,2,a,0
37,Lewis Dobbin,50,MID,Aston Villa,707,0.0,0.0,0,0.0,0,0.0,0,0.00,0,,313,,0.0,704,281,0.0,0.0,0.0,0,0,0.0,705,,0,0.0,,0,217,312,0.00,0,0.0,Permanent transfer to West Bromwich Albion,315,0,0,0,0.0,0.0,0.0,0.0,313,0.0,701,137,0,2024-08-07T08:21:33.016106Z,,0.0,0,0,696,False,Dobbin,310,313,0.0,0,678,0,0.0,704,0.0,False,0.0,0.00,0,0,0,0,300,0.00,0,0,u,0
38,Jhon Durán,58,FWD,Aston Villa,113,273.4,2.8,4,1.0,7,0.77,1943,9.07,0,,21,2023-01-23,66.8,141,1153124,0.5,0.0,1.0,-2,13,0.8,151,48.0,1344723,100.0,,0,91,30,5.24,2380,0.03,,18,588,2,0,66.4,1.99,0.61,325.0,18,0.2,264,25,1,2024-12-27T00:30:09.111478Z,,1.39,0,51,50,True,Duran,20,21,100.0,0,253,9,8.8,118,3.0,False,0.31,5.02,0,0,3,2,28,0.22,219,0,a,0
39,Joe Gauci,40,GKP,Aston Villa,233,0.0,0.0,0,0.0,0,0.0,149,0.00,0,,61,2024-02-01,0.0,532,58513,-0.5,0.0,0.0,0,0,0.0,537,13.0,62593,,,0,641,42,0.00,38,0.0,,33,0,0,0,0.0,0.0,0.0,0.0,61,0.0,511,58,0,,,0.0,0,0,476,True,Gauci,29,61,,0,440,0,0.0,531,0.7,False,0.0,0.00,0,0,0,0,51,0.00,0,0,a,0
40,Kortney Hause,39,DEF,Aston Villa,251,0.0,0.0,0,0.0,0,0.0,142,0.00,0,,174,2019-07-01,0.0,496,58408,-0.5,0.0,0.0,-1,0,0.0,503,241.0,49530,,,0,700,171,0.00,158,0.0,,94,0,1,0,0.0,0.0,0.0,0.0,174,0.0,469,231,0,,,0.0,0,0,430,True,Hause,154,175,,0,395,0,0.0,495,0.6,False,0.0,0.00,0,0,0,0,137,0.00,0,0,a,0
41,Samuel Iling-Junior,54,MID,Aston Villa,608,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,319,,0.0,714,6689,0.0,0.0,0.0,-1,0,0.0,714,,342,0.0,,0,135,318,0.00,0,0.0,Season long loan to Bologna,256,0,1,0,0.0,0.0,0.0,0.0,319,0.0,712,80,0,2024-08-29T11:07:04.555253Z,,0.0,0,0,711,False,Iling Jr,317,319,0.0,0,698,0,0.0,714,0.0,False,0.0,0.00,0,0,0,0,311,0.00,0,0,u,0
42,Boubacar Kamara,50,MID,Aston Villa,563,112.2,1.7,8,1.6,0,0.01,30,9.25,0,,157,2022-06-11,84.1,291,3436,1.1,0.0,1.6,0,13,0.04,312,73.0,4896,100.0,,0,205,149,0.31,30,0.03,,225,673,0,0,20.6,1.74,1.07,9.0,132,0.3,237,128,0,2024-11-11T16:00:06.089849Z,,1.24,0,19,372,True,Kamara,198,140,100.0,0,182,0,3.8,317,0.0,False,0.13,0.10,0,0,1,1,80,0.21,109,0,a,0
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,661,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,192,,0.0,535,1613,0.0,0.0,0.0,0,0,0.0,540,,0,0.0,,0,644,189,0.00,0,0.0,Has joined Preston North End for the rest of the season,228,0,0,0,0.0,0.0,0.0,0.0,192,0.0,514,182,0,2024-08-09T11:14:21.895838Z,,0.0,0,0,479,False,Kesler-Hayden,176,191,0.0,0,443,0,0.0,534,0.0,False,0.0,0.00,0,0,0,0,162,0.00,0,0,u,0
44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,56,280.4,2.1,18,1.2,1,0.03,2971,21.37,0,,62,2019-07-11,78.7,136,1506532,0.7,0.0,1.2,-1,29,0.05,235,241.0,962403,100.0,,0,486,65,0.98,267,0.02,,19,1541,1,0,43.8,1.69,1.05,79.0,49,0.3,246,89,0,2024-11-21T08:30:08.587167Z,,1.25,0,38,215,True,Konsa,55,72,100.0,0,209,3,8.6,202,6.7,False,0.06,0.59,0,0,0,1,71,0.39,183,2,a,0
45,Ian Maatsen,45,DEF,Aston Villa,190,85.4,1.1,2,1.0,0,0.02,193,4.55,0,,85,2024-06-28,141.6,331,317501,0.5,0.0,1.0,-5,6,0.4,390,152.0,76350,100.0,,0,383,34,1.37,84,0.38,,74,303,5,1,28.6,1.78,0.59,58.0,117,0.2,165,69,0,2024-11-14T10:00:07.838636Z,,1.35,0,17,248,True,Maatsen,74,127,100.0,0,236,0,3.8,274,1.3,False,0.0,0.08,0,0,1,0,80,1.29,60,0,a,0
46,Filip Marschall,40,GKP,Aston Villa,716,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,60,,0.0,531,78,0.0,0.0,0.0,0,0,0.0,536,,0,0.0,,0,640,41,0.00,0,0.0,Has joined MK Dons for the rest of the season,74,0,0,0,0.0,0.0,0.0,0.0,60,0.0,510,57,0,2024-07-18T09:50:40.812599Z,,0.0,0,0,475,False,Marschall,28,60,0.0,0,439,0,0.0,530,0.0,False,0.0,0.00,0,0,0,0,50,0.00,0,0,u,0
47,Emiliano Martínez Romero,50,GKP,Aston Villa,32,438.6,2.6,20,1.6,0,0.0,9871,23.99,0,,11,2020-09-16,0.0,36,1350034,0.8,2.62,1.2,0,31,0.0,169,10.0,1095961,75.0,,1,189,73,0.01,202,0.0,Knock - 75% chance of playing,7,1755,0,0,43.9,1.59,1.03,0.0,10,0.3,694,7,0,2025-01-11T01:30:08.408211Z,,1.23,0,53,689,True,Martinez,69,27,75.0,0,181,2,10.6,200,11.1,False,0.1,0.00,0,0,2,2,17,0.01,210,1,d,51
