id,name,now_cost,position,team,selected_rank,influence,points_per_game,starts,form,goals_scored,expected_goals_per_90,transfers_out_event,expected_goals_conceded,cost_change_event_fall,penalties_order,ict_index_rank_type,team_join_date,creativity,influence_rank,transfers_out,ep_next,saves_per_90,ep_this,cost_change_start,goals_conceded,expected_goal_involvements_per_90,points_per_game_rank,region,transfers_in,chance_of_playing_this_round,direct_freekicks_order,penalties_saved,now_cost_rank,creativity_rank_type,expected_goal_involvements,transfers_in_event,expected_assists_per_90,news,selected_rank_type,minutes,cost_change_start_fall,assists,ict_index,goals_conceded_per_90,starts_per_90,threat,influence_rank_type,value_form,creativity_rank,now_cost_rank_type,red_cards,news_added,corners_and_indirect_freekicks_order,expected_goals_conceded_per_90,event_points,total_points,threat_rank,can_select,web_name,threat_rank_type,points_per_game_rank_type,chance_of_playing_next_round,cost_change_event,form_rank,bonus,value_season,ict_index_rank,selected_by_percent,in_dreamteam,clean_sheets_per_90,expected_goals,penalties_missed,own_goals,yellow_cards,clean_sheets,form_rank_type,expected_assists,bps,dreamteam_count,status,saves
227,João Neves Virgínia,39,GKP,Everton,242,0.0,0.0,0,0.0,0,0.0,163,0.00,0,,45,2018-08-27,0.0,499,59770,-0.5,0.0,0.0,-1,0,0.0,506,173.0,60563,,,0,706,20,0.00,61,0.0,,36,0,1,0,0.0,0.0,0.0,0.0,45,0.0,472,70,0,,,0.0,0,0,433,True,J.Virginia,7,45,,0,399,0,0.0,498,0.6,False,0.0,0.00,0,0,0,0,33,0.00,0,0,a,0
228,Michael Keane,40,DEF,Everton,78,221.6,3.6,9,0.0,2,0.05,2245,14.16,0,,77,2017-07-03,22.9,183,1141784,-0.5,0.0,0.0,0,16,0.05,71,241.0,1400290,100.0,,0,608,116,0.45,662,0.0,,28,810,0,0,33.0,1.78,1.0,84.0,70,0.0,350,160,0,2024-12-06T10:30:07.770742Z,,1.57,0,32,207,True,Keane,51,15,100.0,0,415,3,8.0,248,4.8,False,0.22,0.43,0,0,4,2,146,0.02,89,1,a,0
229,Neal Maupay,49,FWD,Everton,321,0.0,0.0,0,0.0,0,0.0,37,0.00,0,,67,,0.0,689,162772,0.0,0.0,0.0,-1,0,0.0,691,,20402,0.0,,0,240,66,0.00,0,0.0,Transferred to Marseille,52,0,1,0,0.0,0.0,0.0,0.0,67,0.0,685,52,0,2024-08-31T06:13:30.372925Z,,0.0,0,0,677,False,Maupay,67,68,0.0,0,649,0,0.0,689,0.3,False,0.0,0.00,0,0,0,0,60,0.00,0,0,u,0
230,Dwight McNeil,51,MID,Everton,166,287.4,5.0,13,0.0,3,0.07,1555,17.67,0,,32,2022-07-28,547.4,132,1678305,0.0,0.0,0.0,-4,21,0.38,13,241.0,1711151,0.0,,0,182,13,4.82,5,0.31,Knee injury - Unknown return date,51,1140,4,5,100.5,1.66,1.03,169.0,51,0.0,15,112,0,2024-12-14T22:30:07.956313Z,1.0,1.4,0,65,120,True,McNeil,80,6,0.0,0,686,6,12.7,51,1.6,False,0.32,0.87,0,0,1,4,304,3.96,299,2,i,0
231,Vitalii Mykolenko,43,DEF,Everton,65,247.8,3.3,17,2.2,0,0.02,2310,21.58,0,,55,2022-01-01,181.5,167,974800,1.7,0.0,2.2,-2,21,0.06,97,225.0,717535,100.0,,0,557,26,0.96,1854,0.04,,23,1465,2,1,48.0,1.29,1.04,49.0,62,0.5,129,125,0,2024-10-07T00:30:07.641913Z,,1.33,0,56,262,True,Mykolenko,80,22,100.0,0,124,5,13.0,188,5.8,False,0.37,0.30,0,0,2,6,36,0.66,198,0,a,0
232,Iliman Ndiaye,54,FWD,Everton,234,319.8,2.9,17,2.8,3,0.11,593,20.74,0,,19,2024-07-03,231.3,109,214313,2.3,0.0,2.8,-1,17,0.16,137,189.0,259886,100.0,,0,132,7,2.69,1242,0.05,,40,1513,1,0,81.2,1.01,1.01,258.0,15,0.5,97,40,0,2024-12-27T02:30:09.454143Z,,1.23,0,55,68,True,Ndiaye,23,20,100.0,0,91,9,10.2,82,0.7,False,0.54,1.82,0,0,2,9,13,0.87,274,1,a,0
234,Nathan Patterson,44,DEF,Everton,610,22.8,1.0,0,0.6,0,0.07,10,1.10,0,,131,2022-01-04,35.9,405,2929,0.1,0.0,0.6,-1,1,0.39,423,243.0,1738,100.0,,0,505,99,0.37,20,0.32,,208,85,1,0,6.7,1.06,0.0,8.0,144,0.1,315,102,0,2024-08-12T14:30:04.567805Z,,1.16,0,4,374,True,Patterson,131,152,100.0,0,293,0,0.9,394,0.0,False,0.0,0.07,0,0,0,0,95,0.30,18,0,a,0
235,Jordan Pickford,50,GKP,Everton,26,550.2,4.6,19,4.2,0,0.0,5193,26.04,0,,2,2017-07-01,10.3,10,1348946,3.7,3.21,4.2,0,25,0.01,25,241.0,1219229,,,2,190,3,0.12,4795,0.01,,4,1710,0,0,55.8,1.32,1.0,0.0,2,0.8,395,8,0,,,1.37,0,87,690,True,Pickford,70,4,,0,38,10,17.4,148,14.0,False,0.37,0.00,0,0,4,7,4,0.12,298,3,a,61
236,James Tarkowski,48,DEF,Everton,168,459.2,3.1,19,2.0,0,0.04,654,26.04,0,,21,2022-07-01,104.5,29,271184,1.5,0.0,2.0,-2,25,0.11,116,241.0,206357,100.0,,0,283,51,1.99,249,0.07,,65,1701,2,0,69.7,1.32,1.01,130.0,8,0.4,206,31,0,2024-09-18T22:30:07.010253Z,,1.38,0,59,149,True,Tarkowski,21,29,100.0,0,143,5,12.3,106,1.6,False,0.37,0.74,0,0,4,7,47,1.25,244,1,a,0
237,Youssef Ramalho Chermiti,49,FWD,Everton,624,0.0,0.0,0,0.0,0,0.0,15,0.00,0,,69,2023-08-11,0.0,695,3811,0.0,0.0,0.0,-1,0,0.0,696,173.0,3379,0.0,,0,276,68,0.00,9,0.0,Thigh injury - Unknown return date,76,0,1,0,0.0,0.0,0.0,0.0,69,0.0,690,56,0,2025-01-04T19:30:08.340445Z,,0.0,0,0,684,True,Y. Chermiti,69,70,0.0,0,663,0,0.0,695,0.0,False,0.0,0.00,0,0,0,0,62,0.00,0,0,i,0
238,Ashley Young,47,DEF,Everton,104,330.2,4.4,16,1.6,1,0.01,2343,18.60,0,,30,2023-07-13,246.9,98,289358,1.1,0.0,1.6,2,17,0.1,34,241.0,600018,100.0,1.0,0,324,16,1.64,1040,0.09,,40,1356,-2,3,61.4,1.13,1.06,35.0,37,0.3,88,43,1,2024-12-23T10:00:08.166370Z,,1.23,0,70,286,True,Young,92,5,100.0,0,176,8,14.9,131,3.3,False,0.46,0.22,0,0,5,7,60,1.42,239,1,a,0
577,Jesper Lindstrøm,50,MID,Everton,507,115.6,1.5,7,0.8,0,0.22,14,8.09,0,,102,2024-07-26,187.2,286,13549,0.3,0.0,0.8,-5,9,0.35,345,58.0,3466,,1.0,0,218,89,2.50,4,0.13,,192,629,5,0,45.8,1.29,1.0,155.0,127,0.2,126,138,0,,2.0,1.16,0,23,123,True,Lindstrøm,82,160,,0,276,0,4.6,196,0.1,False,0.43,1.57,0,0,0,3,136,0.93,91,0,a,0
